campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP005,13648608306,375627610,394780333.96,20403485,0.027521,19.35
CMP022,13703365735,377109904,395899684.64,20480486,0.027520,19.33
CMP023,13657508417,375769033,394203576.87,20390213,0.027514,19.33
CMP011,13714973625,377330481,396309000.78,20463005,0.027512,19.37
CMP018,13708338704,377076026,396003175.53,20477639,0.027507,19.34
CMP026,13652760288,375491308,394442607.58,20370126,0.027503,19.36
CMP019,13675562649,376096719,395062881.56,20415450,0.027501,19.35
CMP042,13717935895,377260350,396576467.39,20507021,0.027501,19.34
CMP004,13705584584,376906722,395992597.40,20491770,0.027500,19.32
CMP027,13719269461,377233894,396153928.92,20462054,0.027497,19.36
