campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP016,13686317849,375883156,393677129.86,20410131,0.027464,19.29
CMP049,13678441909,375790166,393822976.90,20408613,0.027473,19.30
CMP032,13707961325,376277379,395003523.04,20469062,0.027450,19.30
CMP034,13663387190,375490759,394029600.32,20403716,0.027482,19.31
CMP040,13707493063,376364561,395064372.66,20444877,0.027457,19.32
CMP004,13705584584,376906722,395992597.40,20491770,0.027500,19.32
CMP047,13704337167,376533784,395185526.77,20447393,0.027476,19.33
CMP045,13689842314,376256850,394756303.73,20424317,0.027484,19.33
CMP022,13703365735,377109904,395899684.64,20480486,0.027520,19.33
CMP024,13665607452,375614418,394482754.56,20406008,0.027486,19.33
